X1 X2 class
21.20301 22.80146 -1.00000
22.66740 25.46826 -1.00000
15.35052 19.13788 -1.00000
17.82730 13.95282 -1.00000
20.43319 14.93057 -1.00000
20.30027 14.03206 -1.00000
21.84881 15.23838 -1.00000
16.49506 16.95581 -1.00000
13.18265 16.23993 -1.00000
10.69180 21.24283 -1.00000
14.79173 19.40068 1.00000
18.68914 19.41726 1.00000
18.53081 20.33501 1.00000
21.11634 16.64647 1.00000
16.89992 17.30319 1.00000
16.81533 19.08490 1.00000
18.10794 16.04355 1.00000
18.72619 17.08029 1.00000
16.98648 16.05961 1.00000
19.87704 17.98004 1.00000
17.66225 19.93427 1.00000
17.79683 17.62402 1.00000
16.27077 14.99590 1.00000
18.53029 18.24301 1.00000
17.34067 20.60989 1.00000
17.78173 20.75106 1.00000
18.30589 17.57890 1.00000
19.97056 20.12139 1.00000
17.29321 14.52440 1.00000
14.57666 17.90846 1.00000
12.22728 24.51115 1.00000
17.91518 15.82827 1.00000
19.24161 18.34057 1.00000
16.63308 18.71987 1.00000
18.78036 19.63362 1.00000
18.21591 18.86218 1.00000
18.02392 19.00141 1.00000
16.99743 21.19437 1.00000
19.52135 17.36505 1.00000
19.69118 19.06609 1.00000
16.33662 17.59277 1.00000
18.84683 18.75570 1.00000
16.40651 16.53439 1.00000
17.03895 17.69281 1.00000
14.43464 17.26570 1.00000
15.14836 17.33374 1.00000
18.66844 16.48594 1.00000
16.08677 20.85464 1.00000
17.98248 15.90887 1.00000
20.32973 21.15988 1.00000
19.32565 18.89085 1.00000
16.94117 21.44227 1.00000
16.49111 16.13426 1.00000
17.37663 19.81845 1.00000
16.93481 22.26902 1.00000
21.64048 17.58221 1.00000
18.63966 17.87377 1.00000
18.85254 17.53651 1.00000
19.85118 13.71309 1.00000
18.04280 16.13730 1.00000
15.06576 14.10425 1.00000
17.57191 19.05039 1.00000
20.84617 15.84547 1.00000
18.68413 14.63932 1.00000
20.36658 15.89591 1.00000
18.51362 18.11870 1.00000
19.07772 20.00091 1.00000
16.98863 18.27550 1.00000
20.90213 16.88144 1.00000
24.32310 15.47179 1.00000
16.89624 18.45623 1.00000
15.99602 17.40950 1.00000
15.89174 16.28410 1.00000
12.86873 18.27477 1.00000
20.24246 17.92273 1.00000
17.75880 16.37068 1.00000
16.90296 20.58279 1.00000
17.48212 15.66880 1.00000
19.33366 17.34171 1.00000
18.75992 19.46893 1.00000
17.33953 19.55255 1.00000
20.14723 18.61030 1.00000
22.10709 18.59077 1.00000
14.98600 20.98506 1.00000
19.57465 15.58881 1.00000
18.47871 19.99558 1.00000
15.71960 17.09224 1.00000
21.54485 16.12803 1.00000
19.66392 16.96137 1.00000
20.09622 18.27214 1.00000
17.22244 18.22015 1.00000
18.30985 20.34494 1.00000
18.30559 15.64515 1.00000
15.97254 19.16916 1.00000
16.63634 18.37145 1.00000
21.05138 14.85839 1.00000
16.65973 16.79132 1.00000
18.86253 14.66673 1.00000
18.55204 18.48505 1.00000
15.60491 20.45981 1.00000
